County,DateDT,Positive,Negative,x,y
Humboldt,2025-05-03,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-05-10,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-05-17,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-05-24,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-05-31,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-06-07,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-06-14,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-06-21,0,1,-123.916322334237,40.7028154096958
Kern,2024-11-23,1,0,-118.729057004817,35.3434319048996
Kern,2024-11-30,1,0,-118.729057004817,35.3434319048996
Kern,2024-12-07,1,0,-118.729057004817,35.3434319048996
Kern,2024-12-14,1,0,-118.729057004817,35.3434319048996
